0.418442, 0.001986, 0.003228, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.266134, 0.323063, 0.000000, 0.003958
0.009090, 0.012708, 0.000000, 0.000000, 0.610449, 0.000000, 0.000000, 0.000000, 0.001395, 0.000000, 0.257346, 0.000000
0.140495, 0.000000, 0.492215, 0.259457, 0.012061, 0.000000, 0.000000, 0.043275, 0.113030, 0.000000, 0.000866, 0.002723
0.005123, 0.000000, 0.000000, 0.933341, 0.002769, 0.003900, 0.052798, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000005, 0.000000, 0.348311, 0.000000, 0.023460, 0.589482, 0.000000, 0.000000, 0.020422, 0.000000
0.000030, 0.539671, 1.062802, 0.000000, 0.020956, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.000000, 0.000025, 0.077204, 0.003642, 0.876516, 0.004633, 0.000000, 0.000000, 0.000000, 0.000000
0.000000, 0.000000, 0.002139, 0.000191, 0.003700, 0.000000, 0.359200, 0.611462, 0.000000, 0.000000, 0.002779, 0.000775
0.000000, 0.002726, 0.000000, 0.000000, 0.643517, 0.000000, 0.002677, 0.022720, 0.308421, 0.000000, 0.000003, 0.000000
0.002654, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.026816, 0.000000, 0.000000, 0.955664, 0.005195, 0.000000
0.004253, 0.000000, 0.000000, 0.000000, 0.033394, 0.000000, 0.337330, 0.000000, 0.035093, 0.000000, 0.594087, 0.000000
1.246716, 0.000003, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
